 train         node      observed        predicted
     y           41    0.183320         0.161603     
     y           41    0.305320         0.293908     
     y           41    0.385690         0.381958     
     y           41    0.258940         0.261679     
     y           41    0.164600         0.170201     
     y           41    0.966410E-001    0.102114     
     y            8   -0.491640        -0.519627     
     y            8   -0.774380        -0.783256     
     y            8   -0.910650        -0.909961     
     y           40   -0.821860        -0.814933     
     y           40   -0.747560        -0.712529     
     y           41   -0.688590        -0.690942     
     y           41   -0.341100        -0.304266     
     y           41   -0.273610E-001   -0.534761E-001
     y           41    0.199270         0.172955     
     y           46    0.452750         0.443643     
     y           46    0.601000         0.593013     
     y           47    0.689800         0.695450     
     y           47    0.750850         0.755172     
     y           47    0.789830         0.793458     
     y           47    0.815420         0.817903     
     y           21    0.712830         0.692207     
     y           41    0.628120         0.620087     
     y           41    0.561820         0.558950     
     y            9   -0.558250E-002    0.408064E-001
     y            8   -0.422960        -0.508469     
     y            8   -0.650710        -0.695510     
     y           41   -0.435330        -0.410409     
     y           41   -0.252240        -0.254965     
     y           41   -0.112100        -0.122826     
     y           41   -0.240090        -0.225322     
     y           41   -0.325380        -0.317695     
     y           41   -0.382380        -0.379250     
     y           41   -0.531590        -0.542769     
     y           41   -0.622820        -0.650457     
     y           41   -0.680360        -0.716299     
     y           41   -0.708080        -0.743186     
     y           41   -0.726740        -0.763192     
     y           41   -0.739450        -0.776659     
     y           41   -0.726970        -0.752131     
     y           41   -0.718070        -0.743124     
     y           41   -0.711760        -0.736701     
     y            8    -1.03000         -1.04797     
     y            8    -1.14880         -1.19059     
     y            8    -1.20620         -1.23000     
     y           40    -1.02300        -0.975267     
     y           40   -0.760940        -0.763978     
     y           40   -0.440520        -0.461739     
     y           46    0.258190E-001    0.746619E-001
     y           46    0.357800         0.349466     
     y           46    0.553220         0.545095     
     y           41    0.526510         0.529143     
     y           41    0.507310         0.509866     
     y           41    0.493620         0.496009     
     y           46    0.581250         0.568514     
     y           46    0.637200         0.620152     
     y           47    0.673800         0.693477     
     y           41    0.203910         0.179786     
     y           41   -0.204490        -0.159343     
     y           41   -0.461500        -0.454093     
     y           41   -0.398980        -0.396907     
     y           41   -0.353140        -0.351785     
     y           41   -0.320090        -0.318702     
     y            8   -0.656970        -0.683126     
     y            8   -0.823420        -0.834093     
     y            8   -0.913080        -0.908685     
     y           40   -0.679620        -0.684631     
     y           41   -0.437270        -0.404856     
     y           41   -0.225170        -0.229947     
     y            8   -0.691030        -0.686811     
     y            8   -0.894360        -0.895579     
     y            8   -0.994490        -0.986698     
     y           40   -0.702020        -0.713408     
     y           41   -0.346170        -0.305055     
     y           41   -0.211450E-001   -0.482318E-001
     y            8   -0.646810        -0.622081     
     y            8   -0.903400        -0.902463     
     y            8    -1.02020         -1.01745     
     y           40   -0.735410        -0.741082     
     y           41   -0.378700        -0.325632     
     y           41   -0.431300E-001   -0.681876E-001
     y           41    0.173350         0.147822     
     y           41    0.316850         0.304060     
     y           41    0.410180         0.407627     
     y            9   -0.141660        -0.187147     
     y            8   -0.500420        -0.569733     
     y            8   -0.692650        -0.730506     
     y           41   -0.681130        -0.699753     
     y           41   -0.672930        -0.691439     
