 train         node      observed        predicted
     y           53    0.183320         0.193819     
     y           53    0.305320         0.326960     
     y           53    0.385690         0.415567     
     y           11    0.258940         0.227506     
     y           11    0.164600         0.122511     
     y           11    0.966410E-001    0.443625E-001
     y           18   -0.491640        -0.450095     
     y           18   -0.774380        -0.785977     
     y           18   -0.910650        -0.947409     
     y           11   -0.821860        -0.846341     
     y           11   -0.747560        -0.772790     
     y           11   -0.688590        -0.711242     
     y           52   -0.341100        -0.343530     
     y           53   -0.273610E-001   -0.539158E-001
     y           53    0.199270         0.173947     
     y           27    0.452750         0.381535     
     y           27    0.601000         0.564833     
     y           27    0.689800         0.672037     
     y           58    0.750850         0.779172     
     y           58    0.789830         0.817607     
     y           58    0.815420         0.842148     
     y           12    0.712830         0.716597     
     y           12    0.628120         0.634078     
     y           12    0.561820         0.565941     
     y           19   -0.558250E-002   -0.297303E-001
     y           19   -0.422960        -0.394789     
     y           19   -0.650710        -0.663324     
     y           12   -0.435330        -0.462696     
     y           12   -0.252240        -0.289454     
     y           12   -0.112100        -0.142184     
     y           11   -0.240090        -0.184847     
     y           11   -0.325380        -0.290870     
     y           11   -0.382380        -0.361522     
     y           20   -0.531590        -0.541582     
     y           20   -0.622820        -0.636251     
     y           20   -0.680360        -0.694133     
     y           20   -0.708080        -0.730641     
     y           20   -0.726740        -0.748228     
     y           20   -0.739450        -0.760067     
     y           20   -0.726970        -0.768131     
     y           20   -0.718070        -0.760213     
     y           20   -0.711760        -0.754566     
     y           16    -1.03000        -0.998248     
     y           16    -1.14880         -1.13472     
     y           16    -1.20620         -1.18567     
     y           52    -1.02300        -0.977770     
     y           52   -0.760940        -0.753291     
     y           52   -0.440520        -0.432182     
     y           58    0.258190E-001    0.675518E-001
     y           58    0.357800         0.361147     
     y           58    0.553220         0.570153     
     y           12    0.526510         0.505694     
     y           12    0.507310         0.484210     
     y           12    0.493620         0.468766     
     y           27    0.581250         0.594387     
     y           27    0.637200         0.657755     
     y           27    0.673800         0.698214     
     y           21    0.203910         0.217120     
     y           20   -0.204490        -0.169599     
     y           20   -0.461500        -0.428716     
     y           11   -0.398980        -0.474279     
     y           11   -0.353140        -0.422490     
     y           11   -0.320090        -0.384517     
     y           19   -0.656970        -0.597139     
     y           19   -0.823420        -0.813883     
     y           19   -0.913080        -0.920974     
     y           12   -0.679620        -0.673736     
     y           12   -0.437270        -0.485950     
     y           12   -0.225170        -0.291014     
     y           18   -0.691030        -0.633835     
     y           18   -0.894360        -0.899820     
     y           18   -0.994490         -1.01591     
     y           52   -0.702020        -0.718357     
     y           52   -0.346170        -0.359986     
     y           53   -0.211450E-001   -0.575981E-001
     y           18   -0.646810        -0.517346     
     y           18   -0.903400        -0.874572     
     y           18    -1.02020         -1.02107     
     y           52   -0.735410        -0.749860     
     y           52   -0.378700        -0.400900     
     y           53   -0.431300E-001   -0.812240E-001
     y           53    0.173350         0.162494     
     y           53    0.316850         0.319719     
     y           53    0.410180         0.423941     
     y           19   -0.141660        -0.127293     
     y           19   -0.500420        -0.482340     
     y           19   -0.692650        -0.713161     
     y           11   -0.681130        -0.665757     
     y           11   -0.672930        -0.656214     
     y           11   -0.667130        -0.649421     
     y           16   -0.982660        -0.979109     
     y           16    -1.10670         -1.11442     
     y           16    -1.16800         -1.16761     
     y           56   -0.848210        -0.836058     
     y           56   -0.278060        -0.371770     
     y           59    0.299420         0.373918     
     y           11    0.313730E-001    0.156043     
     y           11   -0.161320        -0.659986E-001
     y           11   -0.290190        -0.225619     
     y           59    0.380090         0.367526     
     y           59    0.726270         0.720691     
     y           59    0.888290         0.903089     
     y           27    0.880800         0.879784     
     y           27    0.875460         0.874368     
     y           27    0.871690         0.870506     
     y           12    0.761640         0.761858     
     y           12    0.667680         0.673338     
     y           12    0.592330         0.597761     
     y           11    0.385600         0.398681     
     y           11    0.215600         0.227432     
     y           11    0.879440E-001    0.866093E-001
     y           20   -0.290030        -0.243176     
     y           20   -0.517370        -0.482988     
     y           20   -0.648930        -0.627228     
     y           52   -0.349820        -0.294934     
     y           53   -0.890030E-001   -0.602490E-001
     y           53    0.103300         0.129177     
     y           12    0.139320         0.143797     
     y           12    0.164330         0.172770     
     y           12    0.181710         0.192887     
     y           58    0.510650         0.459291     
     y           58    0.689050         0.666384     
     y           58    0.789490         0.778699     
     y           53    0.750310         0.767210     
     y           53    0.721070         0.738754     
     y           53    0.699660         0.717518     
     y           11    0.468650         0.487589     
     y           11    0.265070         0.296228     
     y           11    0.106680         0.127589     
     y           18   -0.567690        -0.444363     
     y           18   -0.858940        -0.829398     
     y           18   -0.990110        -0.995689     
     y           11   -0.910490        -0.912163     
     y           11   -0.842910        -0.846208     
     y           11   -0.788570        -0.790227     
     y           56   -0.192400        -0.285181     
     y           59    0.357270         0.419051     
     y           59    0.656780         0.708667     
     y           21    0.220700         0.194164     
     y           20   -0.156970        -0.158946     
     y           20   -0.402800        -0.398566     
     y           12   -0.258770        -0.263288     
     y           12   -0.150590        -0.147436     
     y           12   -0.725240E-001   -0.604209E-001
     y           59    0.540330         0.482213     
     y           59    0.819510         0.805119     
     y           59    0.950610         0.952217     
     y           53    0.871030         0.884228     
     y           53    0.804590         0.826431     
     y           53    0.751860         0.778177     
     y           11    0.555050         0.530830     
     y           11    0.380130         0.367799     
     y           11    0.240470         0.222901     
     y           17   -0.592370        -0.653590     
     y           16   -0.920910        -0.947049     
     y           16    -1.05550         -1.08794     
     y           12   -0.880300        -0.788292     
     y           12   -0.687850        -0.647369     
     y           12   -0.502580        -0.492570     
     y           11   -0.523700        -0.508309     
     y           11   -0.538190        -0.525804     
     y           11   -0.548190        -0.537807     
     y           58   -0.767650E-001   -0.234432E-003
     y           58    0.288400         0.296562     
     y           58    0.509110         0.526461     
     y           58    0.662590         0.665414     
     y           58    0.752200         0.762041     
     y           58    0.807170         0.818457     
     y           58    0.867230         0.853065     
     y           58    0.904780         0.890877     
     y           58    0.929090         0.914517     
     y           53    0.869720         0.868599     
     y           53    0.822490         0.825480     
     y           53    0.786280         0.791177     
     y           27    0.792140         0.806018     
     y           27    0.796190         0.810255     
     y           27    0.799010         0.813184     
     y           27    0.782630         0.815223     
     y           27    0.770840         0.803378     
     y           27    0.762420         0.794853     
     y           21    0.372850         0.336650     
     y           20   -0.360700E-002   -0.624116E-001
     y           20   -0.272940        -0.301262     
     y           53   -0.209640E-001   -0.441254E-002
     y           53    0.158960         0.178593     
     y           53    0.279670         0.309268     
     y           20   -0.939520E-001   -0.121531     
     y           20   -0.346640        -0.358583     
     y           20   -0.501410        -0.518906     
     y           11   -0.410480        -0.507339     
     y           11   -0.342150        -0.432016     
     y           11   -0.292210        -0.375413     
     y           18   -0.659350        -0.672111     
     y           18   -0.836160        -0.881732     
     y           18   -0.929480        -0.982682     
     y           57   -0.323220        -0.318490     
     y           59    0.352750         0.350123     
     y           59    0.710460         0.706285     
     y           59    0.885590         0.894759     
     y           59    0.975880         0.987034     
     y           59     1.02750          1.03461     
     y           12    0.909780         0.887185     
     y           12    0.798620         0.792496     
     y           12    0.701890         0.703084     
     y           21    0.274200         0.255008     
     y           20   -0.113190        -0.125002     
     y           20   -0.371990        -0.370789     
     y           12   -0.195550        -0.238506     
     y           12   -0.635450E-001   -0.965849E-001
     y           12    0.304750E-001    0.959439E-002
     y           20   -0.338170        -0.279638     
     y           20   -0.554410        -0.513532     
     y           20   -0.678660        -0.650729     
     y           12   -0.459290        -0.485178     
     y           12   -0.269530        -0.308726     
     y           12   -0.122810        -0.156091     
     y           11   -0.189240        -0.193719     
     y           11   -0.234780        -0.248748     
     y           11   -0.266100        -0.286471     
     y           31    0.802780         0.769571     
     y           31     1.09710          1.12311     
     y           31     1.20260          1.22045     
     y           59     1.16720          1.15406     
     y           59     1.13840          1.13541     
     y           59     1.11580          1.12024     
     y           21    0.842880         0.813288     
     y           21    0.444910         0.445175     
     y           20    0.250490E-001   -0.166918E-001
     y           17   -0.905240        -0.850005     
     y           16    -1.14120         -1.08122     
     y           16    -1.23000         -1.18241     
     y           57   -0.857340        -0.909676     
     y           57    0.956550E-002   -0.176575     
     y           59    0.689800         0.525465     
     y           59    0.946740         0.883874     
     y           59     1.05980          1.01925     
     y           59     1.11880          1.07882     
     y           12    0.979040         0.960623     
     y           12    0.827320         0.848206     
     y           12    0.679210         0.726169     
     y           53    0.680020         0.687116     
     y           53    0.680590         0.687704     
     y           53    0.680980         0.688118     
     y           17   -0.319040        -0.251946     
     y           16   -0.845810        -0.829836     
     y           16    -1.03590         -1.05573     
     y           11   -0.958780        -0.950094     
     y           11   -0.892360        -0.886210     
     y           11   -0.838250        -0.831190     
     y           12   -0.624570        -0.613546     
     y           12   -0.420540        -0.441670     
     y           12   -0.250330        -0.277557     
     y           58    0.172010         0.187290     
     y           58    0.442900         0.453185     
     y           58    0.600410         0.623730     
     y           21    0.121270         0.118132     
     y           20   -0.265710        -0.222031     
     y           20   -0.501270        -0.467558     
     y           16   -0.950050        -0.907982     
     y           16    -1.10590         -1.10044     
     y           16    -1.17760         -1.16727     
     y           57   -0.823610        -0.806594     
     y           57   -0.146600        -0.110221     
     y           59    0.467360         0.443183     
     y           18   -0.233050        -0.238431     
     y           18   -0.647810        -0.638334     
     y           18   -0.842090        -0.875143     
     y           12   -0.636050        -0.616634     
     y           12   -0.440250        -0.450904     
     y           12   -0.276670        -0.293411     
     y           19   -0.590080        -0.569203     
     y           19   -0.754310        -0.770847     
     y           19   -0.845770        -0.876510     
     y           57   -0.237160        -0.153815     
     y           59    0.362410         0.395467     
     y           59    0.683080         0.711375     
     y           19    0.138820         0.482867E-001
     y           19   -0.320660        -0.301883     
     y           19   -0.585050        -0.597506     
     y           30    0.449060         0.401805     
     y           30    0.908690         0.880206     
     y           30     1.07380          1.09284     
     y           53    0.969460         0.973699     
     y           53    0.870800         0.897919     
     y           53    0.784440         0.826264     
     y           27    0.809070         0.804687     
     y           27    0.825590         0.822498     
     y           27    0.836810         0.834444     
     y           11    0.599920         0.601200     
     y           11    0.369150         0.404968     
     y           11    0.177020         0.213805     
     y           18   -0.543820        -0.404202     
     y           18   -0.856380        -0.815769     
     y           18   -0.993990        -0.994227     
     y           20   -0.960180        -0.929629     
     y           20   -0.934380        -0.908178     
     y           20   -0.915180        -0.891808     
     y           11   -0.856610        -0.850093     
     y           11   -0.810270        -0.801576     
     y           11   -0.774880        -0.763189     
     y           30    0.198730         0.313986     
     y           30    0.799100         0.764398     
     y           30     1.01400          1.04214     
     y           17    0.715470E-001    0.516914E-001
     y           17   -0.786670        -0.807609     
     y           16    -1.05280         -1.03037     
     y           56   -0.709540        -0.668804     
     y           56   -0.227680        -0.170441     
     y           58    0.204330         0.201550     
     y           11    0.751510E-001    0.772735E-001
     y           11   -0.170570E-001   -0.297343E-001
     y           11   -0.815240E-001   -0.106117     
     y           18   -0.635440        -0.551819     
     y           18   -0.874630        -0.868080     
     y           18   -0.988240         -1.00465     
     y           12   -0.810350        -0.734191     
     y           12   -0.627000        -0.591104     
     y           12   -0.460330        -0.443625     
     y           59    0.197970         0.277881     
     y           59    0.602700         0.624733     
     y           59    0.799870         0.837982     
     y           27    0.819650         0.815845     
     y           27    0.833020         0.830149     
     y           27    0.842150         0.839817     
     y           12    0.689060         0.738097     
     y           12    0.552140         0.614958     
     y           12    0.439900         0.504825     
     y           11    0.249950         0.272412     
     y           11    0.104160         0.115064     
     y           11   -0.985980E-003   -0.570415E-002
     y           19   -0.468590        -0.391832     
     y           19   -0.710180        -0.692682     
     y           19   -0.836320        -0.848117     
     y           56   -0.323790        -0.354507     
     y           58    0.201870         0.141042     
     y           58    0.527710         0.471984     
     y           17   -0.371380        -0.391693     
     y           16   -0.819230        -0.852281     
     y           16   -0.996790         -1.04434     
     y           27   -0.636370        -0.483369     
     y           27   -0.171910        -0.222739     
     y           27    0.218540         0.113124     
     y           12    0.231130         0.236492     
     y           12    0.239910         0.246619     
     y           12    0.246030         0.253681     
     y           31     1.03280         0.938959     
     y           31     1.21280          1.19919     
     y           31     1.28240          1.25872     
     y           11     1.15340         0.970313     
     y           11    0.974700         0.863453     
     y           11    0.747630         0.715424     
     y           59    0.870990         0.914344     
     y           59    0.940290         0.979341     
     y           59    0.982090          1.01585     
     y           21    0.603850         0.632941     
     y           21    0.123630         0.122772     
     y           20   -0.265220        -0.220534     
     y           27    0.834630E-001    0.456493E-001
     y           27    0.320870         0.297792     
     y           27    0.468780         0.469467     
     y           58    0.649710         0.640023     
     y           58    0.752920         0.753932     
     y           58    0.815080         0.818910     
     y           11    0.605170         0.583200     
     y           11    0.408750         0.409317     
     y           11    0.246970         0.246609     
     y           53    0.372080         0.373188     
     y           53    0.453150         0.464053     
     y           53    0.506390         0.522933     
     y           59    0.778570         0.787237     
     y           59    0.910870         0.930646     
     y           59    0.982870          1.00035     
     y           59     1.03520          1.03829     
     y           59     1.06710          1.06586     
     y           59     1.08740          1.08267     
     y           12    0.965850         0.935366     
     y           12    0.844170         0.837596     
     y           12    0.732920         0.739722     
     y           59    0.927400         0.906593     
     y           59     1.02240          1.00906     
     y           59     1.07510          1.05912     
     y           21    0.728910         0.758392     
     y           21    0.219830         0.291452     
     y           20   -0.240470        -0.159498     
     y           31    0.723560         0.778048     
     y           31     1.03220          1.09690     
     y           31     1.14860          1.19899     
     y           59     1.12080          1.12561     
     y           59     1.09920          1.11096     
     y           59     1.08290          1.09958     
     y           12    0.956230         0.931746     
     y           12    0.828370         0.829858     
     y           12    0.710780         0.727013     
     y           31     1.11150          1.09268     
     y           31     1.23160          1.22522     
     y           31     1.28500          1.26494     
     y           31     1.30030          1.28260     
     y           31     1.31010          1.28766     
     y           31     1.31650          1.29090     
     y           53     1.24170          1.14997     
     y           53     1.15810          1.09564     
     y           53     1.07150          1.03492     
     y           21    0.773340         0.753537     
     y           21    0.359730         0.351379     
     y           20   -0.439270E-001   -0.707358E-001
     y           16   -0.707130        -0.711857     
     y           16   -0.957890        -0.996263     
     y           16    -1.06820         -1.10380     
     y           52   -0.812850        -0.808675     
     y           52   -0.481540        -0.495789     
     y           53   -0.147760        -0.155915     
     y           16   -0.784850        -0.756384     
     y           16    -1.01050         -1.02959     
     y           16    -1.10920         -1.12636     
     y           18    -1.14430         -1.13858     
     y           18    -1.16590         -1.15862     
     y           18    -1.17990         -1.17095     
     y           19    -1.14350         -1.15033     
     y           19    -1.11400         -1.12691     
     y           19    -1.09100         -1.10793     
     y           18    -1.09580         -1.12818     
     y           18    -1.09900         -1.13093     
     y           18    -1.10130         -1.13275     
     y           52   -0.842910        -0.849234     
     y           52   -0.485680        -0.532622     
     y           52   -0.111370        -0.948997E-001
     y           53    0.172450         0.112933     
     y           53    0.358240         0.319066     
     y           53    0.475220         0.454001     
     y           18   -0.239350        -0.233944     
     y           18   -0.659330        -0.641931     
     y           18   -0.853640        -0.881720     
     y           57   -0.163450        -0.169297     
     y           59    0.481360         0.434304     
     y           59    0.787110         0.774049     
     y           11    0.532220         0.560030     
     y           11    0.290300         0.348887     
     y           11    0.953350E-001    0.148488     
     y           20   -0.261940        -0.238486     
     y           20   -0.481650        -0.465166     
     y           20   -0.611350        -0.604565     
     y           18   -0.838590        -0.854326     
     y           18   -0.950730        -0.984070     
     y           18    -1.01280         -1.04810     
     y           56   -0.648720        -0.610730     
     y           56   -0.165860        -0.821394E-001
     y           58    0.241360         0.240471     
     y           11    0.674650E-001    0.107948     
     y           11   -0.573800E-001   -0.361011E-001
     y           11   -0.143950        -0.139519     
     y           30    0.690020         0.605867     
     y           30    0.984200         0.991680     
     y           30     1.10310          1.12777     
     y           59     1.09860          1.10164     
     y           59     1.09530          1.09927     
     y           59     1.09300          1.09753     
     y           18    0.513300         0.118781     
     y           18   -0.374930        -0.212202     
     y           18   -0.816220        -0.719341     
     y           18   -0.931750        -0.971297     
     y           18   -0.995850         -1.03726     
     y           18    -1.03430         -1.07386     
     y           16    -1.12080         -1.13657     
     y           16    -1.16730         -1.17366     
     y           16    -1.19480         -1.19360     
     y           57   -0.882920        -0.840430     
     y           57   -0.287260        -0.226896     
     y           59    0.336310         0.369070     
     y           27    0.490050         0.480632     
     y           27    0.584880         0.591806     
     y           27    0.644940         0.660380     
     y           18   -0.902280E-001   -0.137041     
     y           18   -0.597440        -0.556789     
     y           18   -0.829950        -0.846384     
     y           56   -0.330630        -0.345259     
     y           58    0.179870         0.136736     
     y           58    0.502370         0.458133     
     y           58    0.660000         0.661171     
     y           58    0.751720         0.760410     
     y           58    0.807840         0.818155     
     y           53    0.776340         0.780537     
     y           53    0.753070         0.757659     
     y           53    0.736140         0.740759     
     y           11    0.538670         0.517808     
     y           11    0.364650         0.354230     
     y           11    0.226630         0.210078     
     y           20   -0.859540E-001   -0.155184     
     y           20   -0.298690        -0.353508     
     y           20   -0.433700        -0.488483     
     y           59    0.347000         0.291912     
     y           59    0.753930         0.703256     
     y           59    0.930790         0.917663     
     y           11    0.646430         0.679050     
     y           11    0.330110         0.443495     
     y           11    0.542380E-001    0.181466     
     y           31    0.877330         0.875524     
     y           31     1.10860          1.14776     
     y           31     1.19970          1.22426     
