,value__sum_values,value__median,value__mean,value__maximum,value__minimum,y,cat
0,-0.58882,-0.58882,-0.58882,-0.58882,-0.58882,0.0,0.0
1,-0.27077,-0.27077,-0.27077,-0.27077,-0.27077,0.0,-0.027071
2,0.19087,0.19087,0.19087,0.19087,0.19087,-0.027071,-0.0052826
3,0.25434,0.25434,0.25434,0.25434,0.25434,-0.0052826,0.020677
4,0.41568,0.41568,0.41568,0.41568,0.41568,0.020677,0.060107
5,0.2262,0.2262,0.2262,0.2262,0.2262,0.060107,0.076632
6,0.24962,0.24962,0.24962,0.24962,0.24962,0.076632,0.093791
7,0.056544,0.056544,0.056544,0.056544,0.056544,0.093791,0.09007
8,0.17753,0.17753,0.17753,0.17753,0.17753,0.09007,0.098714
9,0.11362,0.11362,0.11362,0.11362,0.11362,0.098714,0.10016
10,0.31915,0.31915,0.31915,0.31915,0.31915,0.10016,0.12175
11,0.24398,0.24398,0.24398,0.24398,0.24398,0.12175,0.13372
12,0.33762,0.33762,0.33762,0.33762,0.33762,0.13372,0.15361
13,0.094201,0.094201,0.094201,0.094201,0.094201,0.15361,0.14769
14,0.03944,0.03944,0.03944,0.03944,0.03944,0.14769,0.13697
15,-0.25481,-0.25481,-0.25481,-0.25481,-0.25481,0.13697,0.098254
16,-0.2154,-0.2154,-0.2154,-0.2154,-0.2154,0.098254,0.067074
17,-0.27436,-0.27436,-0.27436,-0.27436,-0.27436,0.067074,0.033009
18,0.084471,0.084471,0.084471,0.084471,0.084471,0.033009,0.038148
19,0.33735,0.33735,0.33735,0.33735,0.33735,0.038148,0.06798
20,0.90588,0.90588,0.90588,0.90588,0.90588,0.06798,0.15071
21,1.2025,1.2025,1.2025,1.2025,1.2025,0.15071,0.25149
22,1.6382,1.6382,1.6382,1.6382,1.6382,0.25149,0.37623
23,1.6712,1.6712,1.6712,1.6712,1.6712,0.37623,0.48162
24,1.7979,1.7979,1.7979,1.7979,1.7979,0.48162,0.57651
25,1.5696,1.5696,1.5696,1.5696,1.5696,0.57651,0.63845
26,1.5502,1.5502,1.5502,1.5502,1.5502,0.63845,0.68858
27,1.3105,1.3105,1.3105,1.3105,1.3105,0.68858,0.71696
