 train         node      observed        predicted
     y            6     200.833          189.735     
     y            9     245.107          272.182     
     y            7     193.058          181.128     
     y            9     284.643          263.850     
     y            9     202.536          177.045     
     y            9     192.154          164.193     
     y            8     232.732          246.071     
     y            7     198.333          181.128     
     y            9     315.673          309.905     
     y            6     161.292          191.855     
     y            6     146.667          187.537     
     y            7     209.136          229.908     
     y            9     216.810          219.355     
     y            9     164.548          158.817     
     y            6     203.411          204.338     
     y            9     228.857          186.439     
     y            9     312.143          318.573     
     y            6     213.089          204.809     
     y            9     175.071          207.003     
     y            9     156.679          187.091     
     y            5     198.714          171.356     
     y            6     249.167          194.288     
     y            8     259.911          246.071     
     y            5     342.506          322.832     
     y            5     163.143          166.719     
     y            6     193.982          207.321     
     y            9     331.190          338.113     
     y            8     227.917          246.071     
     y            8     271.391          246.071     
     y            6     208.845          206.968     
     y            6     145.333          178.587     
     y            9     240.810          275.716     
     y            9     276.107          284.303     
     y            7     194.667          191.397     
     y            6     215.461          207.007     
     y            6     170.667          176.938     
     y            9     258.714          247.187     
     y            6     191.089          206.928     
     y            6     153.667          174.190     
     y            9     202.981          218.392     
     y            6     173.417          177.645     
     y            6     178.167          177.174     
     y            9     196.893          217.229     
     y            9     198.393          174.969     
     y            6     214.994          204.809     
     y            7     184.833          181.128     
     y            9     230.048          226.724     
     y            9     266.214          240.810     
     y            6     199.464          207.007     
     y            9     238.857          257.534     
     y            6     166.500          181.413     
     y            9     181.631          180.744     
     y            9     303.054          305.504     
     y            8     274.143          246.071     
     y            6     199.000          204.652     
     y            6     214.271          203.866     
     y            6     150.667          189.526     
     y            6     192.000          183.454     
     y            9     177.000          192.615     
     y            5     147.033          155.126     
     y            7     164.611          181.128     
     y            7     262.556          247.879     
     y            9     182.024          197.027     
     y            9     214.524          210.221     
     y            9     354.393          294.921     
     y            8     226.893          246.071     
     y            6     211.667          189.028     
     y            9     167.536          206.732     
     y            7     186.893          181.128     
     y            5     186.869          194.026     
     y            6     189.500          189.316     
     y            9     236.857          205.469     
     y            9     241.024          233.391     
     y            7     182.511          181.128     
     y            5     280.304          303.253     
     y            7     195.149          181.128     
     y            9     212.238          222.242     
     y            6     167.833          176.389     
     y            6     192.025          207.007     
     y            6     174.000          177.174     
     y            8     261.143          246.071     
     y            9     320.899          302.531     
     y            8     227.714          246.071     
     y            8     261.911          246.071     
     y            9     222.131          242.455     
     y            6     212.250          204.809     
     y            6     202.889          189.578     
     y            9     176.062          214.462     
     y            9     201.833          216.561     
     y            6     205.625          207.007     
     y            9     246.429          246.074     
     y            6     232.111          176.703     
     y            9     213.381          231.426     
     y            8     254.650          246.071     
     y            6     182.000          185.496     
     y            9     303.107          279.371     
     y            9     290.500          232.389     
     y            7     165.060          181.128     
     y            6     212.167          178.744     
     y            5     186.036          185.782     
     y            9     210.857          201.975     
     y            7     179.914          181.128     
     y            7     169.618          181.128     
     y            6     200.167          194.524     
     y            6     208.814          204.809     
     y            6     210.161          207.007     
     y            6     189.389          189.107     
     y            6     178.667          174.504     
     y            9     207.571          235.938     
     y            8     207.125          246.071     
     y            7     167.311          181.128     
     y            5     155.412          160.923     
     y            8     247.321          246.071     
     y            7     189.065          181.128     
