,1_weeks_tsfresh,5_weeks_tsfresh,10_weeks_tsfresh,20_weeks_tsfresh,1_weeks_end2end,5_weeks_end2end,10_weeks_end2end,20_weeks_end2end,5_days_tsfresh,30_days_tsfresh,50_days_tsfresh,100_days_tsfresh
180,3,23,1,2,3,1,1,1,1,1,4,3
175,1,1,1,1,1,1,1,1,1,1,4,3
161,18,12,7,4,1,7,2,2,1,17,1,1
157,2,1,1,2,2,1,1,1,1,5,4,2
156,2,1,1,2,4,1,1,1,3,3,4,3
149,6,2,2,2,1,2,2,5,1,10,1,4
147,1,17,1,19,1,1,1,1,5,1,2,2
138,1,1,1,1,24,1,1,1,1,2,4,2
126,1,1,1,1,1,1,1,2,3,2,1,2
118,1,4,1,8,1,1,1,4,2,1,1,1
97,1,5,8,1,1,1,1,2,1,3,2,4
90,1,8,1,6,1,1,1,6,6,3,3,4
70,1,28,1,1,1,1,1,1,1,10,9,4
69,1,19,1,1,1,1,1,1,1,4,4,3
60,1,1,1,1,1,1,2,3,5,1,1,1
39,3,2,2,2,1,1,1,1,1,6,6,10
25,1,1,1,1,1,1,1,1,1,2,1,3
18,1,1,1,1,1,1,1,1,1,1,3,1
13,2,16,1,7,2,1,1,1,4,2,2,4
12,1,11,1,2,1,1,1,1,1,1,2,2
8,1,1,1,1,1,1,1,1,9,19,14,5
