,u_0,y_0,y_1
0,0.618,0.0,0.18332
1,0.618,0.18332,0.30532
2,0.618,0.30532,0.38569
3,-0.06442,0.38569,0.25894
4,-0.06442,0.25894,0.1646
5,-0.06442,0.1646,0.096641
6,-2.0112,0.096641,-0.49164
7,-2.0112,-0.49164,-0.77438
8,-2.0112,-0.77438,-0.91065
9,-0.58014,-0.91065,-0.82186
10,-0.58014,-0.82186,-0.74756
11,-0.58014,-0.74756,-0.68859
12,0.73704,-0.68859,-0.3411
13,0.73704,-0.3411,-0.027361
14,0.73704,-0.027361,0.19927
15,1.1503,0.19927,0.45275
16,1.1503,0.45275,0.601
17,1.1503,0.601,0.6898
18,1.1856,0.6898,0.75085
19,1.1856,0.75085,0.78983
20,1.1856,0.78983,0.81542
21,0.40373,0.81542,0.71283
22,0.40373,0.71283,0.62812
23,0.40373,0.62812,0.56182
24,-1.4874,0.56182,-0.0055825
25,-1.4874,-0.0055825,-0.42296
26,-1.4874,-0.42296,-0.65071
27,0.22611,-0.65071,-0.43533
28,0.22611,-0.43533,-0.25224
29,0.22611,-0.25224,-0.1121
30,-0.55336,-0.1121,-0.24009
31,-0.55336,-0.24009,-0.32538
32,-0.55336,-0.32538,-0.38238
33,-1.0218,-0.38238,-0.53159
34,-1.0218,-0.53159,-0.62282
35,-1.0218,-0.62282,-0.68036
36,-0.96576,-0.68036,-0.70808
37,-0.96576,-0.70808,-0.72674
38,-0.96576,-0.72674,-0.73945
39,-0.83676,-0.73945,-0.72697
40,-0.83676,-0.72697,-0.71807
41,-0.83676,-0.71807,-0.71176
42,-3.5382,-0.71176,-1.03
43,-3.5382,-1.03,-1.1488
44,-3.5382,-1.1488,-1.2062
45,0.65053,-1.2062,-1.023
46,0.65053,-1.023,-0.76094
47,0.65053,-0.76094,-0.44052
48,1.186,-0.44052,0.025819
49,1.186,0.025819,0.3578
50,1.186,0.3578,0.55322
51,0.49655,0.55322,0.52651
52,0.49655,0.52651,0.50731
53,0.49655,0.50731,0.49362
54,0.93441,0.49362,0.58125
55,0.93441,0.58125,0.6372
56,0.93441,0.6372,0.6738
57,-1.1738,0.6738,0.20391
58,-1.1738,0.20391,-0.20449
59,-1.1738,-0.20449,-0.4615
60,-0.24491,-0.4615,-0.39898
61,-0.24491,-0.39898,-0.35314
62,-0.24491,-0.35314,-0.32009
63,-1.7974,-0.32009,-0.65697
64,-1.7974,-0.65697,-0.82342
65,-1.7974,-0.82342,-0.91308
66,0.32723,-0.91308,-0.67962
67,0.32723,-0.67962,-0.43727
68,0.32723,-0.43727,-0.22517
69,-2.2224,-0.22517,-0.69103
70,-2.2224,-0.69103,-0.89436
71,-2.2224,-0.89436,-0.99449
72,0.77112,-0.99449,-0.70202
73,0.77112,-0.70202,-0.34617
74,0.77112,-0.34617,-0.021145
75,-2.4679,-0.021145,-0.64681
76,-2.4679,-0.64681,-0.9034
77,-2.4679,-0.9034,-1.0202
78,0.7846,-1.0202,-0.73541
79,0.7846,-0.73541,-0.3787
80,0.7846,-0.3787,-0.04313
81,0.6844,-0.04313,0.17335
82,0.6844,0.17335,0.31685
83,0.6844,0.31685,0.41018
84,-1.49,0.41018,-0.14166
85,-1.49,-0.14166,-0.50042
86,-1.49,-0.50042,-0.69265
87,-0.76556,-0.69265,-0.68113
88,-0.76556,-0.68113,-0.67293
89,-0.76556,-0.67293,-0.66713
90,-3.1608,-0.66713,-0.98266
91,-3.1608,-0.98266,-1.1067
92,-3.1608,-1.1067,-1.168
93,1.6951,-1.168,-0.84821
94,1.6951,-0.84821,-0.27806
95,1.6951,-0.27806,0.29942
96,-0.61569,0.29942,0.031373
97,-0.61569,0.031373,-0.16132
98,-0.61569,-0.16132,-0.29019
99,2.0285,-0.29019,0.38009
100,2.0285,0.38009,0.72627
101,2.0285,0.72627,0.88829
102,1.168,0.88829,0.8808
103,1.168,0.8808,0.87546
