 train         node      observed        predicted
     y            5     0.00000        -0.641478E-001
     y            5   -0.176500E-001   -0.335264E-001
     y            5   -0.370720E-001   -0.299880E-001
     y            5   -0.509830E-001   -0.400944E-001
     y            5   -0.578500E-001   -0.508539E-001
     y            5   -0.569630E-001   -0.513092E-001
     y            5   -0.443420E-001   -0.340506E-001
     y            5   -0.118800E-001    0.421094E-002
     y            3    0.497940E-001    0.125783     
     y            3    0.145480         0.176695     
     y            3    0.266700         0.243843     
     y            3    0.384100         0.321571     
     y            3    0.459240         0.393646     
     y            3    0.476850         0.439208     
     y            3    0.454400         0.451344     
     y            3    0.420340         0.441572     
     y            3    0.395440         0.425537     
     y            3    0.387500         0.412583     
     y            3    0.392240         0.404811     
     y            3    0.397920         0.399476     
     y            3    0.393100         0.392025     
     y            3    0.373310         0.379414     
     y            5    0.342520         0.362691     
     y            5    0.309630         0.337105     
     y            5    0.283360         0.314722     
     y            5    0.267820         0.293500     
     y            5    0.260350         0.270203     
     y            5    0.252650         0.242661     
     y            5    0.235250         0.210809     
     y            5    0.202750         0.176504     
     y            5    0.156460         0.142276     
     y            5    0.103400         0.109475     
     y            5    0.528120E-001    0.773370E-001
     y            5    0.120700E-001    0.440160E-001
     y            5   -0.166430E-001    0.883678E-002
     y            5   -0.369730E-001   -0.264535E-001
     y            5   -0.555810E-001   -0.581826E-001
     y            5   -0.772540E-001   -0.823716E-001
     y            5   -0.100930        -0.962854E-001
     y            5   -0.119220        -0.991112E-001
     y            5   -0.122010        -0.915889E-001
     y            5   -0.102030        -0.750764E-001
     y            5   -0.586430E-001   -0.505773E-001
     y            5    0.232240E-002   -0.178938E-001
     y            5    0.715140E-001    0.245871E-001
     y            5    0.139760         0.783889E-001
     y            5    0.201180         0.142365     
     y            5    0.254320         0.211265     
     y            3    0.300180         0.291790     
     y            3    0.338250         0.327338     
     y            3    0.364250         0.351891     
     y            3    0.372150         0.362578     
     y            5    0.358750         0.355489     
     y            5    0.326470         0.325688     
     y            5    0.282780         0.289788     
     y            5    0.237300         0.254527     
     y            5    0.198400         0.221503     
     y            5    0.169840         0.188285     
     y            5    0.148680         0.151289     
     y            5    0.125880         0.108116     
     y            5    0.898660E-001    0.581124E-001
     y            5    0.314880E-001    0.140698E-002
     y            5   -0.522140E-001   -0.625859E-001
     y            5   -0.155650        -0.136064     
     y            5   -0.263120        -0.220790     
     y            5   -0.351940        -0.312711     
     y            4   -0.405490        -0.349530     
