 train         node      observed        predicted
     y          357   -0.262150        -0.240775     
     y          357   -0.254630        -0.240775     
     y          357   -0.236920        -0.240775     
     y          357   -0.211240        -0.240775     
     y         1433   -0.179660        -0.159163     
     y         1433   -0.143770        -0.136726     
     y         1433   -0.104410        -0.112551     
     y         1433   -0.616230E-001   -0.835642E-001
     y         1433   -0.147460E-001   -0.470078E-001
     y         1433    0.373350E-001   -0.601739E-003
     y         1433    0.957840E-001    0.572965E-001
     y         1433    0.161400         0.127552     
     y         1433    0.234320         0.210148     
     y          361    0.313890         0.326537     
     y          361    0.398760         0.397075     
     y          361    0.487020         0.472281     
     y          361    0.576440         0.549913     
     y           92    0.664680         0.655179     
     y           92    0.749450         0.747627     
     y           93    0.828600         0.820919     
     y           93    0.900300         0.896502     
     y           94    0.963020         0.958719     
     y           94     1.01560          1.02507     
     y           94     1.05740          1.06097     
     y           94     1.08810          1.07849     
     y           14     1.10790          1.12100     
     y           14     1.11760          1.12100     
     y           14     1.11830          1.12100     
     y           14     1.11170          1.11214     
     y           14     1.09970          1.08953     
     y           14     1.08430          1.05703     
     y           14     1.06750          1.08305     
     y           15     1.05100          1.04624     
     y           15     1.03610          1.03980     
     y           15     1.02390          1.02616     
     y           15     1.01480          1.01639     
     y           15     1.00900          1.00991     
     y           15     1.00600          1.00615     
     y           15     1.00530          1.00432     
     y           15     1.00590          1.00390     
     y           15     1.00690          1.00390     
     y           15     1.00680          1.00390     
     y           15     1.00430          1.00390     
     y           15    0.998120          1.00331     
     y           15    0.986980         0.987214     
     y           95    0.969900         0.969253     
     y           93    0.946350         0.900840     
     y           93    0.916380         0.946483     
     y           93    0.880780         0.963622     
     y           92    0.841000         0.815441     
     y           92    0.799000         0.815441     
     y           92    0.757040         0.815441     
     y          181    0.717300         0.693420     
     y          181    0.681650         0.669284     
     y          181    0.651400         0.659110     
     y          181    0.627180         0.645082     
     y          181    0.608860         0.627231     
     y          181    0.595610         0.606025     
     y          181    0.585910         0.582330     
     y          181    0.577640         0.557312     
     y          181    0.568200         0.553726     
     y          361    0.554690         0.568558     
     y          361    0.534100         0.535988     
     y          361    0.503800         0.497685     
     y          361    0.461920         0.454334     
     y          361    0.407790         0.407078     
     y         1433    0.342130         0.349456     
     y         1432    0.266980         0.270114     
     y         1432    0.185460         0.183648     
     y         1432    0.101420         0.976137E-001
     y         1432    0.191240E-001    0.159785E-001
     y         1432   -0.571480E-001   -0.575534E-001
     y         1432   -0.123420        -0.120005     
     y         1432   -0.176380        -0.169493     
     y         1432   -0.213750        -0.205435     
     y         1432   -0.234460        -0.228576     
     y         1432   -0.238830        -0.240827     
     y         1432   -0.228490        -0.244959     
     y           88   -0.206180        -0.985046E-001
     y           88   -0.175500        -0.985046E-001
     y           88   -0.140540        -0.985046E-001
     y           88   -0.105520        -0.953345E-001
     y           88   -0.743170E-001   -0.734140E-001
     y           88   -0.501340E-001   -0.734140E-001
     y           88   -0.351070E-001   -0.734140E-001
     y           88   -0.301390E-001   -0.734140E-001
     y           88   -0.348470E-001   -0.734140E-001
     y           88   -0.476540E-001   -0.734140E-001
     y           88   -0.659600E-001   -0.734140E-001
     y           88   -0.863710E-001   -0.820786E-001
     y           88   -0.104990        -0.887761E-001
     y           88   -0.117800        -0.887761E-001
     y           88   -0.121080        -0.887761E-001
     y         1433   -0.111970        -0.110067     
     y         1433   -0.887910E-001   -0.692417E-001
     y         1433   -0.513170E-001   -0.207334E-001
     y         1433   -0.658470E-003    0.335696E-001
     y         1433    0.609460E-001    0.913542E-001
     y         1433    0.130440         0.150095     
     y         1433    0.204290         0.207290     
     y         1433    0.278740         0.260692     
     y         1433    0.350130         0.308511     
     y          718    0.415100         0.378157     
     y          718    0.470860         0.510316     
     y          360    0.515400         0.533658     
     y          360    0.547690         0.546245     
     y          360    0.567810         0.558258     
     y          360    0.576990         0.567470     
     y          360    0.577410         0.572219     
     y          360    0.571980         0.571750     
     y          360    0.563960         0.566341     
     y          360    0.556530         0.562560     
     y          361    0.552380         0.502882     
     y          361    0.553480         0.526346     
     y          361    0.560900         0.552779     
     y          361    0.574860         0.581091     
     y          361    0.594780         0.609813     
     y          361    0.619460         0.637226     
     y          361    0.647180         0.661537     
     y          361    0.675890         0.681040     
     y          181    0.703320         0.732912     
     y          181    0.727070         0.732912     
     y          181    0.744770         0.732912     
     y          181    0.754210         0.732912     
     y          181    0.753530         0.732912     
     y          181    0.741520         0.732912     
     y          181    0.717790         0.725169     
     y          181    0.682970         0.698305     
     y          181    0.638740         0.654256     
     y          181    0.587650         0.596596     
     y          361    0.532850         0.502735     
     y          361    0.477700         0.476971     
     y          361    0.425360         0.454517     
     y          361    0.378470         0.435335     
     y          719    0.338770         0.365908     
     y          719    0.307030         0.341149     
     y          719    0.282890         0.316376     
     y          719    0.264950         0.290774     
     y          719    0.250820         0.264287     
     y          719    0.237290         0.237999     
     y         1433    0.220620         0.274978     
     y         1433    0.196970         0.224872     
     y          357    0.162970         0.149344     
     y          357    0.116320         0.123720     
     y          357    0.561850E-001    0.608976E-001
     y          357   -0.167900E-001   -0.524757E-002
     y          357   -0.100690        -0.112559     
     y          360   -0.192710        -0.193442     
     y           41   -0.289520        -0.272491     
     y           41   -0.387590        -0.415281     
     y           41   -0.483480        -0.493379     
     y           41   -0.574060        -0.562958     
