u_0,y_0,y_1
-0.98765,0.0,0.0
-0.79674,0.0,-0.032108
-0.61093,-0.032108,-0.082347
-0.43903,-0.082347,-0.13816
-0.28836,-0.13816,-0.18826
-0.16409,-0.18826,-0.22361
-0.068736,-0.22361,-0.23928
-0.0019646,-0.23928,-0.23536
0.039373,-0.23536,-0.21566
0.060885,-0.21566,-0.18541
0.070074,-0.18541,-0.14941
0.075567,-0.14941,-0.1112
0.086251,-0.1112,-0.072932
0.11037,-0.072932,-0.035529
0.15471,-0.035529,0.0011128
0.22387,0.0011128,0.037921
0.31984,0.037921,0.076386
0.44173,0.076386,0.11815
0.58589,0.11815,0.16438
0.74618,0.16438,0.21493
0.91462,0.21493,0.26754
1.0821,0.26754,0.31771
1.2392,0.31771,0.35998
1.3774,0.35998,0.39034
1.4893,0.39034,0.40809
1.5701,0.40809,0.41562
1.6172,0.41562,0.41664
1.6313,0.41664,0.41445
1.6157,0.41445,0.41101
1.5763,0.41101,0.40704
1.5206,0.40704,0.40249
1.4577,0.40249,0.39712
1.3967,0.39712,0.39091
1.346,0.39091,0.38421
1.3128,0.38421,0.37777
1.3019,0.37777,0.37253
1.3155,0.37253,0.36948
1.3532,0.36948,0.36941
1.4116,0.36941,0.37274
1.4848,0.37274,0.37936
1.5651,0.37936,0.38858
1.6439,0.38858,0.39919
1.7119,0.39919,0.4097
1.761,0.4097,0.41867
1.7841,0.41867,0.42493
1.7766,0.42493,0.42781
1.7364,0.42781,0.42708
1.6644,0.42708,0.42281
1.5642,0.42281,0.41524
1.4419,0.41524,0.40468
1.3055,0.40468,0.3915
1.1643,0.3915,0.3761
1.0275,0.3761,0.35901
0.90393,0.35901,0.34088
0.80091,0.34088,0.32251
0.72354,0.32251,0.30485
0.67431,0.30485,0.28896
0.65284,0.28896,0.27593
0.65594,0.27593,0.26676
0.67797,0.26676,0.26222
0.71139,0.26222,0.26262
0.74754,0.26262,0.26766
0.77749,0.26766,0.27625
0.79298,0.27625,0.28662
0.78718,0.28662,0.29647
0.75546,0.29647,0.30342
0.6958,0.30342,0.30548
0.60906,0.30548,0.30138
0.49887,0.30138,0.29056
0.37133,0.29056,0.27307
0.23442,0.27307,0.24925
0.097206,0.24925,0.21951
-0.030973,0.21951,0.18421
-0.14145,0.18421,0.14365
-0.22705,0.14365,0.098162
-0.28277,0.098162,0.048337
-0.30629,0.048337,-0.0046659
-0.29814,-0.0046659,-0.058706
-0.26167,-0.058706,-0.11035
-0.20274,-0.11035,-0.15501
-0.12907,-0.15501,-0.18787
-0.04956,-0.18787,-0.20537
0.026654,-0.20537,-0.20643
0.091048,-0.20643,-0.19247
0.13656,-0.19247,-0.16659
0.1583,-0.16659,-0.13247
0.15397,-0.13247,-0.093716
0.12417,-0.093716,-0.053687
0.072242,-0.053687,-0.015591
0.0040044,-0.015591,0.017456
-0.072858,0.017456,0.04256
-0.14955,0.04256,0.057406
-0.21703,0.057406,0.060658
-0.26692,0.060658,0.052231
-0.29233,0.052231,0.033291
-0.28855,0.033291,0.006109
-0.25353,0.006109,-0.026121
-0.18808,-0.026121,-0.059422
-0.095828,-0.059422,-0.089257
0.017123,-0.089257,-0.11099
0.14278,-0.11099,-0.12061
0.27201,-0.12061,-0.11539
0.39544,-0.11539,-0.0941
0.50433,-0.0941,-0.056818
0.59139,-0.056818,-0.0045148
0.65155,-0.0045148,0.060834
0.68232,0.060834,0.13529
0.68413,0.13529,0.21144
0.66018,0.21144,0.27822
0.61614,0.27822,0.32429
0.55958,0.32429,0.34382
0.4992,0.34382,0.33907
0.44394,0.33907,0.3175
0.40211,0.3175,0.28746
0.38056,0.28746,0.25569
0.38397,0.25569,0.2269
0.41437,0.2269,0.20434
0.47096,0.20434,0.19034
0.55014,0.19034,0.18657
0.64584,0.18657,0.194
0.75013,0.194,0.21259
0.85397,0.21259,0.2408
0.94807,0.2408,0.27519
1.0238,0.27519,0.31052
1.074,0.31052,0.34093
1.0938,0.34093,0.36174
1.0808,0.36174,0.37099
1.0357,0.37099,0.36952
0.96175,0.36952,0.35979
0.86495,0.35979,0.3445
0.75306,0.3445,0.32578
0.63499,0.32578,0.30497
0.51994,0.30497,0.28283
0.41648,0.28283,0.25985
0.33171,0.25985,0.23647
0.27058,0.23647,0.21335
0.23541,0.21335,0.19134
0.22568,0.19134,0.17154
0.23806,0.17154,0.15518
0.26679,0.15518,0.1435
0.30423,0.1435,0.1375
0.34163,0.1375,0.1377
0.37,0.1377,0.14393
0.381,0.14393,0.15511
0.3678,0.15511,0.16916
0.32571,0.16916,0.18317
0.25274,0.18317,0.19369
0.14974,0.19369,0.19733
0.020379,0.19733,0.1913
-0.12919,0.1913,0.17361
-0.29093,0.17361,0.14301
-0.45568,0.14301,0.098566
-0.61401,0.098566,0.039407
-0.75714,0.039407,-0.035067
-0.87776,-0.035067,-0.1237
-0.97072,-0.1237,-0.22051
-1.0335,-0.22051,-0.31185
-1.0666,-0.31185,-0.37976
-1.073,-0.37976,-0.41295
-1.0585,-0.41295,-0.41406
-1.0305,-0.41406,-0.39498
-0.99771,-0.39498,-0.36819
-0.96908,-0.36819,-0.34239
-0.95286,-0.34239,-0.32228
-0.95586,-0.32228,-0.30986
-0.98274,-0.30986,-0.30554
-1.0355,-0.30554,-0.30888
-1.1133,-0.30888,-0.31887
-1.2125,-0.31887,-0.33404
-1.3271,-0.33404,-0.35256
-1.449,-0.35256,-0.37229
-1.5692,-0.37229,-0.39115
-1.6785,-0.39115,-0.40745
-1.768,-0.40745,-0.42017
-1.8308,-0.42017,-0.42895
-1.8618,-0.42895,-0.43394
-1.8586,-0.43394,-0.4355
-1.822,-0.4355,-0.43398
-1.7552,-0.43398,-0.42965
-1.6642,-0.42965,-0.42276
-1.5566,-0.42276,-0.41357
-1.4415,-0.41357,-0.40244
-1.328,-0.40244,-0.38991
-1.2247,-0.38991,-0.37666
-1.1386,-0.37666,-0.3635
-1.0747,-0.3635,-0.35132
-1.0353,-0.35132,-0.34104
-1.02,-0.34104,-0.33348
-1.0253,-0.33348,-0.32922
-1.0455,-0.32922,-0.32849
-1.073,-0.32849,-0.33103
-1.0991,-0.33103,-0.33602
-1.1147,-0.33602,-0.34214
-1.1115,-0.34214,-0.34773
-1.0826,-0.34773,-0.3511
-1.0235,-0.3511,-0.35081
-0.93216,-0.35081,-0.34579
-0.80938,-0.34579,-0.33545
