,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
546,-1.0355,-1.1133,-1.2125,-1.3271,-1.449,-1.5692,-1.6785,-1.768,-1.8308,-1.8618,-0.37163,-0.42094,-0.46296,-0.49923,-0.53186,-0.56325,-0.59595,-0.6323,-0.67426,-0.72315,nde
202,0.086251,0.11037,0.15471,0.22387,0.31984,0.44173,0.58589,0.74618,0.91462,1.0821,-0.1112,-0.072932,-0.035529,0.0011128,0.037921,0.076386,0.11815,0.16438,0.21493,0.26754,wiener
120,0.75013,0.85397,0.94807,1.0238,1.074,1.0938,1.0808,1.0357,0.96175,0.86495,0.55653,0.55238,0.55348,0.5609,0.57486,0.59478,0.61946,0.64718,0.67589,0.70332,hammerstein
209,0.74618,0.91462,1.0821,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,1.6157,0.16438,0.21493,0.26754,0.31771,0.35998,0.39034,0.40809,0.41562,0.41664,0.41445,wiener
346,-1.0335,-1.0666,-1.073,-1.0585,-1.0305,-0.99771,-0.96908,-0.95286,-0.95586,-0.98274,-0.22051,-0.31185,-0.37976,-0.41295,-0.41406,-0.39498,-0.36819,-0.34239,-0.32228,-0.30986,wiener
424,1.7841,1.7766,1.7364,1.6644,1.5642,1.4419,1.3055,1.1643,1.0275,0.90393,1.0671,1.0867,1.1116,1.1419,1.1768,1.2146,1.253,1.2892,1.3201,1.3427,nde
440,0.71139,0.74754,0.77749,0.79298,0.78718,0.75546,0.6958,0.60906,0.49887,0.37133,1.164,1.1026,1.0406,0.98157,0.92824,0.88268,0.84606,0.81848,0.79911,0.78621,nde
514,0.33171,0.27058,0.23541,0.22568,0.23806,0.26679,0.30423,0.34163,0.37,0.381,0.71483,0.73558,0.74445,0.7412,0.72657,0.70219,0.67041,0.63408,0.59623,0.55975,nde
562,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.2143,-1.2819,-1.3418,-1.3925,-1.4331,-1.4635,-1.4844,-1.4971,-1.5033,-1.5052,nde
168,-1.2125,-1.3271,-1.449,-1.5692,-1.6785,-1.768,-1.8308,-1.8618,-1.8586,-1.822,-0.93272,-0.93921,-0.94327,-0.94675,-0.95102,-0.95701,-0.96512,-0.97536,-0.98735,-1.0005,hammerstein
413,1.346,1.3128,1.3019,1.3155,1.3532,1.4116,1.4848,1.5651,1.6439,1.7119,0.63779,0.72306,0.79866,0.86303,0.91551,0.95638,0.98688,1.009,1.0253,1.0386,nde
63,0.79298,0.78718,0.75546,0.6958,0.60906,0.49887,0.37133,0.23442,0.097206,-0.030973,0.6514,0.62718,0.60886,0.59561,0.58591,0.57764,0.5682,0.55469,0.5341,0.5038,hammerstein
445,0.75546,0.6958,0.60906,0.49887,0.37133,0.23442,0.097206,-0.030973,-0.14145,-0.22705,0.88268,0.84606,0.81848,0.79911,0.78621,0.77738,0.76979,0.76046,0.74656,0.72571,nde
361,-1.5692,-1.6785,-1.768,-1.8308,-1.8618,-1.8586,-1.822,-1.7552,-1.6642,-1.5566,-0.37229,-0.39115,-0.40745,-0.42017,-0.42895,-0.43394,-0.4355,-0.43398,-0.42965,-0.42276,wiener
336,0.25274,0.14974,0.020379,-0.12919,-0.29093,-0.45568,-0.61401,-0.75714,-0.87776,-0.97072,0.18317,0.19369,0.19733,0.1913,0.17361,0.14301,0.098566,0.039407,-0.035067,-0.1237,wiener
73,-0.14145,-0.22705,-0.28277,-0.30629,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.026654,0.46192,0.40779,0.34213,0.26698,0.18546,0.10142,0.019124,-0.057148,-0.12342,-0.17638,hammerstein
519,0.26679,0.30423,0.34163,0.37,0.381,0.3678,0.32571,0.25274,0.14974,0.020379,0.70219,0.67041,0.63408,0.59623,0.55975,0.52714,0.50021,0.47994,0.46639,0.45869,nde
175,-1.8618,-1.8586,-1.822,-1.7552,-1.6642,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-0.97536,-0.98735,-1.0005,-1.0138,-1.0265,-1.0374,-1.0456,-1.0499,-1.0497,-1.0444,hammerstein
463,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.21703,0.23032,0.17848,0.13626,0.1046,0.083548,0.072263,0.069134,0.071939,0.078074,0.084801,nde
224,1.3128,1.3019,1.3155,1.3532,1.4116,1.4848,1.5651,1.6439,1.7119,1.761,0.38421,0.37777,0.37253,0.36948,0.36941,0.37274,0.37936,0.38858,0.39919,0.4097,wiener
